"authors","title","doi","journal","habitat","region","scale_name","scale_size_m2","scale_size_km","type_study","sp_sar","richness","n_ind","simpson_diver","shannon_diver","n_rows","scale_type","record"
"Youngblood, Andrew; Metlen, Kerry L.; Coe, Kent","Changes in stand structure and composition after restoration treatments in low elevation dry forests of northeastern Oregon","10.1016/j.foreco.2006.06.033","FOREST ECOLOGY AND MANAGEMENT","forest","North America","area",9.4e+07,NA,"exp",135,293,4.7e+08,0.992692692,5.301286476,7,"ecological_scale","m2"
"Reid, Matthew L.; Emery, Sarah M.","Scale-dependent effects of Gypsophila paniculata invasion and management on plant and soil nematode community diversity and heterogeneity","10.1016/j.biocon.2018.05.026","BIOLOGICAL CONSERVATION","desert and tundra","North America","landscape",NA,NA,"exp",NA,NA,NA,NA,NA,84,"ecological_scale",NA
"Collins, SL; Glenn, SM; Briggs, JM","Effect of local and regional processes on plant species richness in tallgrass prairie","10.1034/j.1600-0706.2002.12112.x","OIKOS","palustrine wetland","North America","landscape",3.6e+07,NA,"exp",124,230,1.8e+08,0.988275188,4.986534792,84,"ecological_scale","m2"
"Williams, Neal M.; Winfree, Rachael","Local habitat characteristics but not landscape urbanization drive pollinator visitation and native plant pollination in forest remnants","10.1016/j.biocon.2012.12.035","BIOLOGICAL CONSERVATION","forest","North America","landscape",NA,1,"exp",NA,NA,NA,NA,NA,84,"ecological_scale","km"
"Tanentzap, Andrew J.; Burrows, Larry E.; Lee, William G.; Nugent, Graham; Maxwell, Jane M.; Coomes, David A.","Landscape-level vegetation recovery from herbivory: progress after four decades of invasive red deer control","10.1111/j.1365-2664.2009.01683.x","JOURNAL OF APPLIED ECOLOGY","forest","Oceania","landscape",5.18e+08,NA,"exp",154,451,2.59e+09,0.99571675,5.752278971,84,"ecological_scale","m2"
"Tanentzap, Andrew J.; Burrows, Larry E.; Lee, William G.; Nugent, Graham; Maxwell, Jane M.; Coomes, David A.","Landscape-level vegetation recovery from herbivory: progress after four decades of invasive red deer control","10.1111/j.1365-2664.2009.01683.x","JOURNAL OF APPLIED ECOLOGY","shrubland","Oceania","landscape",5.18e+08,NA,"exp",154,451,2.59e+09,0.995281476,5.717433071,84,"ecological_scale","m2"
"Tanentzap, Andrew J.; Burrows, Larry E.; Lee, William G.; Nugent, Graham; Maxwell, Jane M.; Coomes, David A.","Landscape-level vegetation recovery from herbivory: progress after four decades of invasive red deer control","10.1111/j.1365-2664.2009.01683.x","JOURNAL OF APPLIED ECOLOGY","grassland","Oceania","landscape",5.18e+08,NA,"exp",154,451,2.59e+09,0.995422656,5.744584355,84,"ecological_scale","m2"
"Kay, Geoffrey M.; Mortelliti, Alessio; Tulloch, Ayesha; Barton, Philip; Florance, Daniel; Cunningham, Saul A.; Lindenmayer, David B.","Effects of past and present livestock grazing on herpetofauna in a landscape-scale experiment","10.1111/cobi.12779","CONSERVATION BIOLOGY","forest","Oceania","landscape",1.5e+10,NA,"exp",191,1048,7.5e+10,0.998080883,6.599320421,84,"ecological_scale","m2"
"Kay, Geoffrey M.; Mortelliti, Alessio; Tulloch, Ayesha; Barton, Philip; Florance, Daniel; Cunningham, Saul A.; Lindenmayer, David B.","Effects of past and present livestock grazing on herpetofauna in a landscape-scale experiment","10.1111/cobi.12779","CONSERVATION BIOLOGY","forest","Oceania","landscape",196350,NA,"exp",67,61,981750,0.966534648,3.695418393,84,"ecological_scale","m2"
"Bruno, JF","Causes of landscape-scale rarity in cobble beach plant communities","10.2307/3072061","ECOLOGY","palustrine wetland","North America","landscape",6e+08,NA,"exp",155,468,3e+09,0.996136516,5.825354791,84,"ecological_scale","m2"
