"authors","title","doi","journal","habitat","region","scale_name","scale_size_m2","scale_size_km","type_study","notes"
"Youngblood, Andrew; Metlen, Kerry L.; Coe, Kent","Changes in stand structure and composition after restoration treatments in low elevation dry forests of northeastern Oregon","10.1016/j.foreco.2006.06.033","FOREST ECOLOGY AND MANAGEMENT","forest","North America","area",9.4e+07,NA,"exp",""
"Okland, B; Gotmark, F; Norden, B; Franc, N; Kurina, O; Polevoi, A","Regional diversity of mycetophilids (Diptera : Sciaroidea) in Scandinavian oak-dominated forests","10.1016/j.biocon.2004.04.005","BIOLOGICAL CONSERVATION","forest","Europe","area",4.2e+10,NA,"obs","insect traps"
"Xiang, Dan; Verbruggen, Erik; Hu, Yajun; Veresoglou, Stavros D.; Rillig, Matthias C.; Zhou, Wenping; Xu, Tianle; Li, Huan; Hao, Zhipeng; Chen, Yongliang; Chen, Baodong","Land use influences arbuscular mycorrhizal fungal communities in the farming-pastoral ecotone of northern China","10.1111/nph.12961","NEW PHYTOLOGIST","grassland","Asia","area",100,NA,"obs",""
"Brandle, M; Stadler, J; Klotz, S; Brandl, R","Distributional range size of weedy plant species is correlated to germination patterns","10.1890/0012-9658(2003)084[0136:DRSOWP]2.0.CO;2","ECOLOGY","grassland","Europe","area",400,NA,"obs",""
"Neuenkamp, Lena; Lewis, Rob John; Koorem, Kadri; Zobel, Kristjan; Zobel, Martin","Changes in dispersal and light capturing traits explain post-abandonment community change in semi-natural grasslands","10.1111/jvs.12449","JOURNAL OF VEGETATION SCIENCE","grassland","Europe","area",1500000,NA,"obs",""
"Harrison, Susan; Cornell, Howard; Moore, Kara A.","Spatial niches and coexistence: testing theory with tarweeds","10.1890/09-0742.1","ECOLOGY","grassland","North America","area",330000,NA,"obs",""
"Ares, J; Del Valle, H; Bisigato, A","Detection of process-related changes in plant patterns at extended spatial scales during early dryland desertification","10.1046/j.1365-2486.2003.00690.x","GLOBAL CHANGE BIOLOGY","shrubland","South America","area",3e+08,NA,"obs",""
"Baez, Selene; Homeier, Juergen","Functional traits determine tree growth and ecosystem productivity of a tropical montane forest: Insights from a long-term nutrient manipulation experiment","10.1111/gcb.13905","GLOBAL CHANGE BIOLOGY","forest","South America","block",1600,NA,"exp",""
"Chen, Qingqing; Wang, Shaopeng; Seabloom, Eric W.; MacDougall, Andrew S.; Borer, Elizabeth T.; Bakker, Jonathan D.; Donohue, Ian; Knops, Johannes M. H.; Morgan, John W.; Carroll, Oliver; Crawley, Mick; Bugalho, Miguel N.; Power, Sally A.; Eskelinen, Anu; Virtanen, Risto; Risch, Anita C.; Schutz, Martin; Stevens, Carly; Caldeira, Maria C.; Bagchi, Sumanta; Alberti, Juan; Hautier, Yann","Nutrients and herbivores impact grassland stability across spatial scales through different pathways","10.1111/gcb.16085","GLOBAL CHANGE BIOLOGY","grassland","Global","block",320,NA,"exp",""
"Carmona, Carlos P.; Guerrero, Irene; Peco, Begona; Morales, Manuel B.; Onate, Juan J.; Part, Tomas; Tscharntke, Teja; Liira, Jaan; Aavik, Tsipe; Emmerson, Mark C.; Berendse, Frank; Ceryngier, Piotr; Bretagnolle, Vincent; Weisser, Wolfgang W.; Bengtsson, Jan","Agriculture intensification reduces plant taxonomic and functional diversity across European arable systems","10.1111/1365-2435.13608","FUNCTIONAL ECOLOGY","grassland","Europe","field",10000,NA,"obs","min size"
